rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
587,expert,Fanley Zhang,https://www.kaggle.com/fanleyzhang,1,1,0,14402,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,Fanley Zhang (fanleyzhang),[Rank: 1000+] Fanley Zhang (fanleyzhang),1001.0
588,master,Benlei Cui,https://www.kaggle.com/raininbox,1,4,3,14369,China,Zhejiang,Hangzhou,Five,Zhejiang Gongshang University,2021-12,Benlei Cui (raininbox),[Rank: 1000+] Benlei Cui (raininbox),1001.0
589,expert,Grzegorz Sionkowski,https://www.kaggle.com/sionek,0,6,9,14360,Poland,Kuyavian-Pomeranian Voivodeship,Bydgoszcz,security engineer,Atos,2021-12,Grzegorz Sionkowski (sionek),[Rank: 626] Grzegorz Sionkowski (sionek),626.0
590,master,bmci,https://www.kaggle.com/bmcinnovo,1,9,15,14353,United States,Texas,San Antonio,Data Scientist,BMCI,2021-12,bmci (bmcinnovo),[Rank: 1000+] bmci (bmcinnovo),1001.0
591,grandmaster,fakeplastictrees,https://www.kaggle.com/fakeplastictrees,8,12,2,14303,United Kingdom,England,London,UNKOWN,UNKOWN,2021-12,fakeplastictrees (fakeplastictrees),[Rank: 1000+] fakeplastictrees (fakeplastictrees),1001.0
592,master,eagle4,https://www.kaggle.com/chabir,1,7,6,14289,United States,New York,New York,Looking for next opportunity,...,2021-12,eagle4 (chabir),[Rank: 1000+] eagle4 (chabir),1001.0
593,expert,TomFuj,https://www.kaggle.com/tomfuj,1,1,0,14285,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,TomFuj (tomfuj),[Rank: 1000+] TomFuj (tomfuj),1001.0
594,expert,Ashish Gupta,https://www.kaggle.com/roydatascience,0,4,8,14279,Canada,Ontario,Toronto,Data Scientist,Scotiabank,2021-12,Ashish Gupta (roydatascience),[Rank: 1000+] Ashish Gupta (roydatascience),1001.0
595,master,ishikei,https://www.kaggle.com/amanatsu,1,4,4,14275,Japan,Ibaraki,Tsukuba,Engineer,Rist Inc.,2021-12,ishikei (amanatsu),[Rank: 52] ishikei (amanatsu),52.0
596,master,213tubo,https://www.kaggle.com/tubotubo,1,2,1,14259,Japan,Ibaraki,Tsukuba,College student,University of Tsukuba,2021-12,213tubo (tubotubo),[Rank: 432] 213tubo (tubotubo),432.0
597,expert,tomoo inubushi,https://www.kaggle.com/tomooinubushi,0,4,1,14226,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,tomoo inubushi (tomooinubushi),[Rank: 833] tomoo inubushi (tomooinubushi),833.0
598,expert,Suman Sahoo,https://www.kaggle.com/sumansahoo16,0,6,4,14212,India,Maharashtra,Mumbai,UNKOWN,UNKOWN,2021-12,Suman Sahoo (sumansahoo16),[Rank: 637] Suman Sahoo (sumansahoo16),637.0
599,expert,dhaqui the kaggler,https://www.kaggle.com/dhaqui,0,0,3,14209,Japan,Tokyo,Tokyo,-----,-----,2021-12,dhaqui the kaggler (dhaqui),[Rank: 1000+] dhaqui the kaggler (dhaqui),1001.0
600,expert,student,https://www.kaggle.com/liger1776,0,2,4,14199,United States,New York,New York,Self Study,Deeply Reinforced Nets,2021-12,student (liger1776),[Rank: 1000+] student (liger1776),1001.0
601,grandmaster,Evgeny Patekha,https://www.kaggle.com/johnpateha,9,5,1,14193,Russia,UNKOWN,Moscow,UNKOWN,UNKOWN,2021-12,Evgeny Patekha (johnpateha),[Rank: 1000+] Evgeny Patekha (johnpateha),1001.0
602,master,LeonShangguan,https://www.kaggle.com/leonshangguan,1,6,5,14140,United States,New York,New York,UNKOWN,UNKOWN,2021-12,LeonShangguan (leonshangguan),[Rank: 120] LeonShangguan (leonshangguan),120.0
603,expert,Kerem Turgutlu,https://www.kaggle.com/keremt,0,5,2,14138,United States,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,Kerem Turgutlu (keremt),[Rank: 839] Kerem Turgutlu (keremt),839.0
604,master,hoxosh,https://www.kaggle.com/cashfeg,3,18,7,14098,Japan,Tokyo,Shibuya City,Data Science Group Manager ,DeNA,2021-12,hoxosh (cashfeg),[Rank: 382] hoxosh (cashfeg),382.0
605,expert,copypaste,https://www.kaggle.com/copypaste0122,0,7,5,14060,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2021-12,copypaste (copypaste0122),[Rank: 607] copypaste (copypaste0122),607.0
606,master,corochann,https://www.kaggle.com/corochann,4,1,2,14057,Japan,Tokyo,Tokyo,Engineer,Preferred Networks,2021-12,corochann (corochann),[Rank: 1000+] corochann (corochann),1001.0
607,expert,German Abramov,https://www.kaggle.com/germanjke,0,1,4,14015,China,Guangdong Province,Shenzhen,Researcher,Huawei,2021-12,German Abramov (germanjke),[Rank: 674] German Abramov (germanjke),674.0
608,expert,Cedric Damien,https://www.kaggle.com/cedricdamien,1,0,5,14005,France,Île-de-France,Palaiseau,Quantitative Researcher,Squarepoint,2021-12,Cedric Damien (cedricdamien),[Rank: 1000+] Cedric Damien (cedricdamien),1001.0
609,expert,Akio Saito,https://www.kaggle.com/saitodevel01,2,0,1,13967,Japan,Hyogo,Amagasaki,Control Systems Engineer,Mitsubishi Electric,2021-12,Akio Saito (saitodevel01),[Rank: 202] Akio Saito (saitodevel01),202.0
610,expert,myaun,https://www.kaggle.com/haradataman,0,6,5,13965,Japan,Kanagawa,Odawara,data scientist,CADDi,2021-12,myaun (haradataman),[Rank: 854] myaun (haradataman),854.0
611,expert,Jaskirat Singh,https://www.kaggle.com/jaskirat409,0,0,2,13960,India,Delhi,New Delhi,Data Scientist,Tata Consultancy Services,2021-12,Jaskirat Singh (jaskirat409),[Rank: 1000+] Jaskirat Singh (jaskirat409),1001.0
612,grandmaster,Little Boat,https://www.kaggle.com/xiaozhouwang,18,19,6,13955,Canada,Ontario,Toronto,Co-founder,Quartic.ai,2021-12,Little Boat (xiaozhouwang),[Rank: 1000+] Little Boat (xiaozhouwang),1001.0
613,master,Urvish,https://www.kaggle.com/urvishp80,1,5,4,13946,India,Gujarat,Ahmedabad,ML Engineer ,Pirimid Fintech,2021-12,Urvish (urvishp80),[Rank: 1000+] Urvish (urvishp80),1001.0
614,expert,Bruce Young,https://www.kaggle.com/mutantspore,0,2,1,13926,United States,Florida,Hudson,Potato stacker,a Supermarket,2021-12,Bruce Young (mutantspore),[Rank: 379] Bruce Young (mutantspore),379.0
615,expert,Soonhwan Kwon,https://www.kaggle.com/soonhwankwon,0,12,12,13897,South Korea,Seoul,Seoul,Deeplearning Engineer,SamsungSDS,2021-12,Soonhwan Kwon (soonhwankwon),[Rank: 942] Soonhwan Kwon (soonhwankwon),942.0
616,expert,ryoya,https://www.kaggle.com/ryoya0902,0,4,1,13864,Japan,Kyoto,Kyoto,Student,Kyoto,2021-12,ryoya (ryoya0902),[Rank: 1000+] ryoya (ryoya0902),1001.0
617,master,Pavel Hanchar,https://www.kaggle.com/pavelgonchar,3,5,1,13850,UNKOWN,UNKOWN,UNKOWN,Senior Machine Learning Engineer,Fyusion,2021-12,Pavel Hanchar (pavelgonchar),[Rank: 1000+] Pavel Hanchar (pavelgonchar),1001.0
618,master,hmdhmd,https://www.kaggle.com/hmdhmd,3,7,1,13803,Japan,Tokyo,Tokyo,Novice,GiXo,2021-12,hmdhmd (hmdhmd),[Rank: 1000+] hmdhmd (hmdhmd),1001.0
619,expert,teehoong,https://www.kaggle.com/teehoong,0,4,0,13802,Singapore,UNKOWN,Singapore,Actuary,Ministry of Health,2021-12,teehoong (teehoong),[Rank: 1000+] teehoong (teehoong),1001.0
620,expert,Stanislav Blinov,https://www.kaggle.com/stanislavblinov,0,3,5,13790,Russia,UNKOWN,Moscow,Project Director,Gazprombank,2021-12,Stanislav Blinov (stanislavblinov),[Rank: 1000+] Stanislav Blinov (stanislavblinov),1001.0
621,expert,yokuyama,https://www.kaggle.com/yokuyama,0,3,1,13770,Japan,Kanagawa,Yokohama,UNKOWN,UNKOWN,2021-12,yokuyama (yokuyama),[Rank: 224] yokuyama (yokuyama),224.0
622,grandmaster,Sergei Fironov,https://www.kaggle.com/sergeifironov,8,2,5,13767,Russia,UNKOWN,Saint Petersburg,DS,SberMarket,2021-12,Sergei Fironov (sergeifironov),[Rank: 1000+] Sergei Fironov (sergeifironov),1001.0
623,master,monnu,https://www.kaggle.com/fuumin621,1,4,3,13755,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2021-12,monnu (fuumin621),[Rank: 815] monnu (fuumin621),815.0
624,expert,aDg4b,https://www.kaggle.com/egrehbbt,0,3,2,13746,UNKOWN,UNKOWN,UNKOWN,Developer,UNKOWN,2021-12,aDg4b (egrehbbt),[Rank: 246] aDg4b (egrehbbt),246.0
625,master,Ee Kin Chin,https://www.kaggle.com/dicksonchin93,1,6,1,13697,Singapore,UNKOWN,Singapore,Senior Deep Learning Engineer,DataRobot,2021-12,Ee Kin Chin (dicksonchin93),[Rank: 1000+] Ee Kin Chin (dicksonchin93),1001.0
626,expert,chumajin,https://www.kaggle.com/chumajin,0,3,4,13694,Japan,Tokyo,Tokyo,Engineer,Japanese Company,2021-12,chumajin (chumajin),[Rank: 235] chumajin (chumajin),235.0
627,master,Sergey Zhitansky,https://www.kaggle.com/szhitansky,1,2,13,13690,Ukraine,Vinnytsia Oblast,Vinnytsia,Founder & CEO,Rational Systems,2021-12,Sergey Zhitansky (szhitansky),[Rank: 1000+] Sergey Zhitansky (szhitansky),1001.0
628,master,Thin Nguyen,https://www.kaggle.com/jessky,1,4,5,13671,Australia,Victoria,Melbourne,UNKOWN, Deakin University,2021-12,Thin Nguyen (jessky),[Rank: 1000+] Thin Nguyen (jessky),1001.0
629,expert,Changyi,https://www.kaggle.com/vicioussong,0,10,2,13666,France,Île-de-France,Paris,Data Scientist,UNKOWN,2021-12,Changyi (vicioussong),[Rank: 1000+] Changyi (vicioussong),1001.0
630,master,Bishmoy Paul,https://www.kaggle.com/artemenon,1,3,2,13642,Bangladesh,Dhaka Division,Dhaka,Student,"Dept. of EEE, Bangladesh University Of Engineering and Technology",2021-12,Bishmoy Paul (artemenon),[Rank: 1000+] Bishmoy Paul (artemenon),1001.0
631,master,cfiken,https://www.kaggle.com/kentaronakanishi,2,1,3,13639,Japan,Tokyo,Tokyo,Engineer,"mixi, Inc",2021-12,cfiken (kentaronakanishi),[Rank: 1000+] cfiken (kentaronakanishi),1001.0
632,expert,blue0620,https://www.kaggle.com/blue0620,0,3,2,13629,Japan,Tokyo,Tokyo,Librarian,National Diet Library(国立国会図書館),2021-12,blue0620 (blue0620),[Rank: 307] blue0620 (blue0620),307.0
633,expert,Naresh Bhat,https://www.kaggle.com/nareshbhat,0,0,2,13600,India,Karnataka,Mangalore,Azure Developer,TCS,2021-12,Naresh Bhat (nareshbhat),[Rank: 1000+] Naresh Bhat (nareshbhat),1001.0
634,master,resistance0108,https://www.kaggle.com/resistance0108,2,2,3,13548,Japan,Tokyo,Tokyo,Data Scientist,a consulting firm,2021-12,resistance0108 (resistance0108),[Rank: 765] resistance0108 (resistance0108),765.0
635,master,Thomas Yokota,https://www.kaggle.com/learnmower,3,12,4,13538,United States,Hawaii,Honolulu,Epidemiologist,Healthcare,2021-12,Thomas Yokota (learnmower),[Rank: 1000+] Thomas Yokota (learnmower),1001.0
636,expert,Yusuke Nakayama,https://www.kaggle.com/nakayamar,0,3,1,13534,Japan,Kanagawa,Yokohama,UNKOWN,UNKOWN,2021-12,Yusuke Nakayama (nakayamar),[Rank: 587] Yusuke Nakayama (nakayamar),587.0
637,expert,sandy1112,https://www.kaggle.com/sandy1112,0,1,4,13522,India,Karnataka,Bengaluru,Data Sciences & ML Engineering,Walmart,2021-12,sandy1112 (sandy1112),[Rank: 1000+] sandy1112 (sandy1112),1001.0
638,expert,mizoo,https://www.kaggle.com/yukio0201,0,2,3,13502,Japan,Nagano,Suwa,engineer,SYS,2021-12,mizoo (yukio0201),[Rank: 767] mizoo (yukio0201),767.0
639,master,monty ponty,https://www.kaggle.com/dmitriyab,2,3,0,13485,Russia,UNKOWN,Moscow,Researcher,Huawei,2021-12,monty ponty (dmitriyab),[Rank: 1000+] monty ponty (dmitriyab),1001.0
640,master,Hugues,https://www.kaggle.com/seuguh,1,4,2,13458,France,Île-de-France,Paris,France Lab,IBM,2021-12,Hugues (seuguh),[Rank: 798] Hugues (seuguh),798.0
641,master,Takamichi Toda,https://www.kaggle.com/takamichitoda,1,2,3,13408,Japan,Kanagawa,Kawasaki,Data Scientist,AI Shift,2021-12,Takamichi Toda (takamichitoda),[Rank: 1000+] Takamichi Toda (takamichitoda),1001.0
642,expert,Mark Tenenholtz,https://www.kaggle.com/marktenenholtz,1,1,1,13403,United States,Ohio,Cincinnati,Senior Data Scientist,84.51,2021-12,Mark Tenenholtz (marktenenholtz),[Rank: 535] Mark Tenenholtz (marktenenholtz),535.0
643,master,Bùi Nhật Trường,https://www.kaggle.com/researchbntz,1,5,1,13400,Vietnam,Hanoi,Hanoi,AI Engineer  ,Viettel Group,2021-12,Bùi Nhật Trường (researchbntz),[Rank: 680] Bùi Nhật Trường (researchbntz),680.0
644,expert,Gopi Durgaprasad,https://www.kaggle.com/gopidurgaprasad,0,5,2,13392,India,Andhra Pradesh,Annavaram,Student,IIIT Nuzvidu,2021-12,Gopi Durgaprasad (gopidurgaprasad),[Rank: 865] Gopi Durgaprasad (gopidurgaprasad),865.0
645,expert,Alexis Gassmann,https://www.kaggle.com/tarandro,0,2,5,13387,France,Île-de-France,Paris,Data Scientist,Datastorm,2021-12,Alexis Gassmann (tarandro),[Rank: 1000+] Alexis Gassmann (tarandro),1001.0
646,master,Toru Ito,https://www.kaggle.com/iru538,1,12,2,13363,Japan,Iwate,Iwate,Software Engineer,UNKOWN,2021-12,Toru Ito (iru538),[Rank: 885] Toru Ito (iru538),885.0
647,expert,PC Jimmmy,https://www.kaggle.com/pcjimmmy,0,2,2,13326,United States,Pennsylvania,Pittsburgh,Consultant ,Retired,2021-12,PC Jimmmy (pcjimmmy),[Rank: 838] PC Jimmmy (pcjimmmy),838.0
648,expert,drehero,https://www.kaggle.com/drehero,1,0,1,13303,UNKOWN,UNKOWN,UNKOWN,Student,UNKOWN,2021-12,drehero (drehero),[Rank: 1000+] drehero (drehero),1001.0
649,master,Patrick Chan,https://www.kaggle.com/drpatrickchan,1,8,16,13283,Singapore,UNKOWN,Singapore,CTO/Founder,Amaris.AI,2021-12,Patrick Chan (drpatrickchan),[Rank: 437] Patrick Chan (drpatrickchan),437.0
650,expert,Hongnan G,https://www.kaggle.com/reighns,0,3,6,13262,Singapore,UNKOWN,Singapore,"ML Engineer, Business Analyst",Singapore,2021-12,Hongnan G (reighns),[Rank: 1000+] Hongnan G (reighns),1001.0
651,master,S. Tomizawa,https://www.kaggle.com/shigemitsutomizawa,1,2,1,13262,Japan,Kanagawa,Kawasaki,IT Infrastructure Engineer,Research & Technologies company,2021-12,S. Tomizawa (shigemitsutomizawa),[Rank: 293] S. Tomizawa (shigemitsutomizawa),293.0
652,master,steubk,https://www.kaggle.com/steubk,1,12,10,13219,Italy,Lazio,Rome,data analyst,softlab,2021-12,steubk (steubk),[Rank: 212] steubk (steubk),212.0
653,expert,BUUMOO,https://www.kaggle.com/buumoo,0,3,2,13211,Singapore,UNKOWN,Singapore,UNKOWN,UNKOWN,2021-12,BUUMOO (buumoo),[Rank: 781] BUUMOO (buumoo),781.0
654,master,ChienYiChi,https://www.kaggle.com/ericji,2,2,5,13208,China,Guangdong Province,Shenzhen,UNKOWN,UNKOWN,2021-12,ChienYiChi (ericji),[Rank: 1000+] ChienYiChi (ericji),1001.0
655,grandmaster,spongebob,https://www.kaggle.com/baomengjiao,6,11,1,13189,China,Beijing,Beijing,master student,Beihang University,2021-12,spongebob (baomengjiao),[Rank: 1000+] spongebob (baomengjiao),1001.0
656,master,hatry,https://www.kaggle.com/toseihatori,1,7,2,13188,Japan,Tokyo,Tokyo,Data Scientist,XXX,2021-12,hatry (toseihatori),[Rank: 1000+] hatry (toseihatori),1001.0
657,expert,coach36,https://www.kaggle.com/kag0306,0,2,3,13182,China,Beijing,Beijing,UNKOWN,UNKOWN,2021-12,coach36 (kag0306),[Rank: 1000+] coach36 (kag0306),1001.0
658,master,AnhMeow,https://www.kaggle.com/seb6084,1,4,1,13148,France,Île-de-France,Paris,Data Scientist,Home,2021-12,AnhMeow (seb6084),[Rank: 420] AnhMeow (seb6084),420.0
659,master,Thomas Hoffmann,https://www.kaggle.com/thoffma,1,2,2,13144,United States,California,Pasadena,Student,California Institute of Technology,2021-12,Thomas Hoffmann (thoffma),[Rank: 1000+] Thomas Hoffmann (thoffma),1001.0
660,expert,kiyomomo,https://www.kaggle.com/kiyomomo,0,4,5,13116,Japan,UNKOWN,UNKOWN,software engineer,UNKOWN,2021-12,kiyomomo (kiyomomo),[Rank: 394] kiyomomo (kiyomomo),394.0
661,expert,Kamal,https://www.kaggle.com/kamalnaithani,1,0,2,13059,India,Haryana,Gurugram,Data Scientist,EXL Analytics,2021-12,Kamal (kamalnaithani),[Rank: 1000+] Kamal (kamalnaithani),1001.0
662,master,higepon,https://www.kaggle.com/higepon,1,3,4,13042,Japan,Tokyo,Tokyo,Software Engineer,Tech company,2021-12,higepon (higepon),[Rank: 1000+] higepon (higepon),1001.0
663,expert,Dannykm,https://www.kaggle.com/dannykm,1,1,1,13040,South Korea,Gyeonggi-do,Goyang-si,Undergraduate Student,Kyunghee University ,2021-12,Dannykm (dannykm),[Rank: 1000+] Dannykm (dannykm),1001.0
664,expert,lisr,https://www.kaggle.com/lisr56,0,6,2,13017,China,Guangdong Province,Guangzhou,student,scut,2021-12,lisr (lisr56),[Rank: 921] lisr (lisr56),921.0
665,expert,Ctrl_CV,https://www.kaggle.com/guohey,0,6,1,13017,China,Shaanxi,Xi'an,Master Student,JIALIDUN,2021-12,Ctrl_CV (guohey),[Rank: 537] Ctrl_CV (guohey),537.0
666,master,HyperSeedOptimized,https://www.kaggle.com/gideonteo,2,3,0,12983,New Zealand,Auckland,Auckland,Data Scientist,UNKOWN,2021-12,HyperSeedOptimized (gideonteo),[Rank: 1000+] HyperSeedOptimized (gideonteo),1001.0
667,expert,mlist,https://www.kaggle.com/pyoungkangkim,0,0,2,12972,United States,Virginia,Reston,data science,gov contracting,2021-12,mlist (pyoungkangkim),[Rank: 1000+] mlist (pyoungkangkim),1001.0
668,master,Felipe Loque,https://www.kaggle.com/felipefonte99,1,7,2,12964,Brazil,State of Minas Gerais,Belo Horizonte,Data Quality,Mediar Solutions,2021-12,Felipe Loque (felipefonte99),[Rank: 945] Felipe Loque (felipefonte99),945.0
669,expert,ITK8191,https://www.kaggle.com/itsuki9180,0,5,1,12936,Japan,Tokyo,Tokyo,clerical,my home,2021-12,ITK8191 (itsuki9180),[Rank: 955] ITK8191 (itsuki9180),955.0
670,master,all_random,https://www.kaggle.com/a11rand0m,2,9,6,12888,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,all_random (a11rand0m),[Rank: 1000+] all_random (a11rand0m),1001.0
671,expert,Renjie Qian,https://www.kaggle.com/rjqian,1,1,0,12868,China,Shanghai,Shanghai,Graduate student,Fudan University,2021-12,Renjie Qian (rjqian),[Rank: 1000+] Renjie Qian (rjqian),1001.0
672,expert,soham mukherjee,https://www.kaggle.com/soham1024,0,0,2,12855,India,West Bengal,Kolkata,Data Scientist,NeenOpal Inc.,2021-12,soham mukherjee (soham1024),[Rank: 1000+] soham mukherjee (soham1024),1001.0
673,expert,Felipe Bivort Haiek,https://www.kaggle.com/felipebihaiek,1,1,2,12829,Argentina,Buenos Aires,Buenos Aires,Data scientist,Mercadolibre,2021-12,Felipe Bivort Haiek (felipebihaiek),[Rank: 1000+] Felipe Bivort Haiek (felipebihaiek),1001.0
674,expert,steaphan,https://www.kaggle.com/steaphan,0,2,2,12814,Hong Kong,UNKOWN,Hong Kong,High peformance computing Engineer,ASTRI,2021-12,steaphan (steaphan),[Rank: 1000+] steaphan (steaphan),1001.0
675,expert,Pies,https://www.kaggle.com/tobycat,0,2,6,12809,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,Pies (tobycat),[Rank: 1000+] Pies (tobycat),1001.0
676,expert,Sirius,https://www.kaggle.com/trushk,0,4,3,12803,United States,California,Santa Clara,Data Scientist,H2O.ai,2021-12,Sirius (trushk),[Rank: 109] Sirius (trushk),109.0
677,expert,kzykmyzw,https://www.kaggle.com/kazuyukimiyazawa,0,5,2,12791,Japan,Tokyo,Tokyo,Research Engineer,"Mobility Technologies Co., Ltd.",2021-12,kzykmyzw (kazuyukimiyazawa),[Rank: 1000+] kzykmyzw (kazuyukimiyazawa),1001.0
678,master,Nikolay Prokoptsev,https://www.kaggle.com/nprokoptsev,2,3,3,12769,Russia,UNKOWN,Moscow,Data Scientist,Mail.ru Group,2021-12,Nikolay Prokoptsev (nprokoptsev),[Rank: 1000+] Nikolay Prokoptsev (nprokoptsev),1001.0
679,grandmaster,owruby,https://www.kaggle.com/owruby,5,5,5,12751,Japan,Tokyo,Tokyo,Data Scientist,Japan,2021-12,owruby (owruby),[Rank: 1000+] owruby (owruby),1001.0
680,expert,esprit,https://www.kaggle.com/takuji,0,2,5,12741,Japan,Chiba,Chiba,Data Scientist,KDDI,2021-12,esprit (takuji),[Rank: 355] esprit (takuji),355.0
681,expert,TeraFlops,https://www.kaggle.com/sekrier,0,6,11,12684,Belgium,Brussels,Brussels,Tech Lead,Cisco Systems,2021-12,TeraFlops (sekrier),[Rank: 1000+] TeraFlops (sekrier),1001.0
682,master,Artyom Lyan,https://www.kaggle.com/arli2016,1,4,5,12672,Russia,UNKOWN,Moscow,Engineer,Sberbank,2021-12,Artyom Lyan (arli2016),[Rank: 1000+] Artyom Lyan (arli2016),1001.0
683,expert,Ayman Khalafallah,https://www.kaggle.com/aymankh,0,2,4,12660,Egypt,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,Ayman Khalafallah (aymankh),[Rank: 624] Ayman Khalafallah (aymankh),624.0
684,master,w_13,https://www.kaggle.com/ihiroaki,1,2,1,12648,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2021-12,w_13 (ihiroaki),[Rank: 1000+] w_13 (ihiroaki),1001.0
685,expert,ZehuiGong,https://www.kaggle.com/zehuigong,2,0,0,12634,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2021-12,ZehuiGong (zehuigong),[Rank: 1000+] ZehuiGong (zehuigong),1001.0
686,expert,AbhilashVJ,https://www.kaggle.com/abh001,0,0,2,12630,India,Kerala,Thiruvananthapuram,AI Engineer,Innovation Incubator Advisory,2021-12,AbhilashVJ (abh001),[Rank: 583] AbhilashVJ (abh001),583.0
687,master,Moiz Saifee,https://www.kaggle.com/moizsaifee,2,7,6,12630,India,Madhya Pradesh,Indore,Principal,Correlation Ventures,2021-12,Moiz Saifee (moizsaifee),[Rank: 1000+] Moiz Saifee (moizsaifee),1001.0
688,expert,Wonjun Park🏆,https://www.kaggle.com/wonjunpark,0,1,2,12622,South Korea,Seoul,Seoul,Student, University,2021-12,Wonjun Park (wonjunpark),[Rank: 914] Wonjun Park (wonjunpark),914.0
689,expert,Riku Suzuki,https://www.kaggle.com/r1cky7,0,1,4,12597,Japan,Tokyo,Tokyo,Machine Learning Engineer,Araya Inc.,2021-12,Riku Suzuki (r1cky7),[Rank: 1000+] Riku Suzuki (r1cky7),1001.0
690,expert,mirandora,https://www.kaggle.com/mirandora,0,3,4,12586,Japan,Tokyo,Minato City,media planner,ad agency,2021-12,mirandora (mirandora),[Rank: 632] mirandora (mirandora),632.0
691,master,Izmaylov Konstantin,https://www.kaggle.com/izmaylov,1,9,9,12554,Russia,UNKOWN,Moscow,Head of DS,Mail.ru Group,2021-12,Izmaylov Konstantin (izmaylov),[Rank: 1000+] Izmaylov Konstantin (izmaylov),1001.0
692,master,Darkate,https://www.kaggle.com/jihangz,1,8,3,12542,United States,California,Irvine,Data Analyst,getBIsmart,2021-12,Darkate (jihangz),[Rank: 1000+] Darkate (jihangz),1001.0
693,expert,zlannn,https://www.kaggle.com/zlanan,0,3,4,12516,China,Shanghai,Shanghai,A naive student,CV,2021-12,zlannn (zlanan),[Rank: 1000+] zlannn (zlanan),1001.0
694,expert,Akash,https://www.kaggle.com/ak0210,0,1,2,12486,India,Tamil Nadu,Chennai,Student,Anna University,2021-12,Akash (ak0210),[Rank: 339] Akash (ak0210),339.0
695,expert,Hieu Khuong,https://www.kaggle.com/ktgiahieu,0,3,0,12454,Vietnam,Ho Chi Minh City,Ho Chi Minh City,Student,HCMUT,2021-12,Hieu Khuong (ktgiahieu),[Rank: 860] Hieu Khuong (ktgiahieu),860.0
696,expert,马克,https://www.kaggle.com/azamat25,1,0,2,12443,China,Zhejiang,Hangzhou,Student,Zhejiang University,2021-12,马克 (azamat25),[Rank: 1000+] 马克 (azamat25),1001.0
697,expert,Necofuryai,https://www.kaggle.com/necofuryai,0,0,4,12423,Japan,Tokyo,Tokyo,Data Security Engineer,Tokyo,2021-12,Necofuryai (necofuryai),[Rank: 1000+] Necofuryai (necofuryai),1001.0
698,expert,Sh1r0,https://www.kaggle.com/pegasos,0,3,1,12422,Japan,Tokyo,Tokyo,Engineer, Cat cafe,2021-12,Sh1r0 (pegasos),[Rank: 1000+] Sh1r0 (pegasos),1001.0
699,expert,Sindhu V,https://www.kaggle.com/jdoesv,0,2,0,12421,India,Karnataka,Bengaluru,Data scientist,UNKOWN,2021-12,Sindhu V (jdoesv),[Rank: 1000+] Sindhu V (jdoesv),1001.0
700,master,Naoism,https://www.kaggle.com/naoism,1,3,3,12418,Japan,Tokyo,Tokyo,Reseacher,"Hitachi, Ltd.",2021-12,Naoism (naoism),[Rank: 417] Naoism (naoism),417.0
701,expert,Newt,https://www.kaggle.com/yoshito,0,1,7,12407,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2021-12,newt (yoshito),[Rank: 679] newt (yoshito),679.0
702,master,YuanXu,https://www.kaggle.com/xuyuan,3,4,3,12389,Germany,Berlin,Berlin,UNKOWN,UNKOWN,2021-12,YuanXu (xuyuan),[Rank: 566] YuanXu (xuyuan),566.0
703,master,FelipeKitamura,https://www.kaggle.com/felipekitamura,3,2,2,12380,Brazil,State of São Paulo,São Paulo,Head of AI,DASA,2021-12,FelipeKitamura (felipekitamura),[Rank: 797] FelipeKitamura (felipekitamura),797.0
704,expert,ywakizaka,https://www.kaggle.com/ywakizaka,0,0,2,12367,Japan,Kanagawa,Yokohama,UNKOWN,UNKOWN,2021-12,ywakizaka (ywakizaka),[Rank: 822] ywakizaka (ywakizaka),822.0
705,expert,dan,https://www.kaggle.com/dannywu375,0,3,0,12334,Japan,Tokyo,Tokyo,grad student,UNKOWN,2021-12,dan (dannywu375),[Rank: 1000+] dan (dannywu375),1001.0
706,expert,lhagiimn,https://www.kaggle.com/lhagiimn,0,4,1,12322,South Korea,Chungcheongbuk-do,Cheongju-si,Ph.D. candidate,Chungbuk National University,2021-12,lhagiimn (lhagiimn),[Rank: 895] lhagiimn (lhagiimn),895.0
707,expert,Moore,https://www.kaggle.com/imoore,0,1,3,12322,Russia,UNKOWN,Moscow,Data scientist,Kertoft,2021-12,Moore (imoore),[Rank: 1000+] Moore (imoore),1001.0
708,expert,ForcewithMe,https://www.kaggle.com/forcewithme,0,5,0,12306,China,Guangdong Province,Guangzhou,Student,kaggle,2021-12,ForcewithMe (forcewithme),[Rank: 65] ForcewithMe (forcewithme),65.0
